"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","mean_hires","hour_pred","day_pred","temp_rounded","temp_pred","hum_rounded","hum_pred","year_pred","season_pred","workday_pred","weathersit_pred"
"1",1,"2011-01-01",1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,189.294933716987,-135.023747276309,0.178738950629814,0.2,-88.1134716530571,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"2",2,"2011-01-01",1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,189.294933716987,-157.619258041311,0.178738950629814,0.2,-88.1134716530571,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"3",3,"2011-01-01",1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,189.294933716987,-166.275656608553,0.178738950629814,0.2,-88.1134716530571,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"4",5,"2011-01-01",1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,189.294933716987,-183.193106040747,0.178738950629814,0.2,-88.1134716530571,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"5",7,"2011-01-01",1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,189.294933716987,-109.183245405299,0.178738950629814,0.2,-88.1134716530571,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"6",9,"2011-01-01",1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,189.294933716987,168.00627110229,0.178738950629814,0.2,-88.1134716530571,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"7",10,"2011-01-01",1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,189.294933716987,27.8899004062358,0.178738950629814,0.3,-57.5653813621468,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"8",11,"2011-01-01",1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,189.294933716987,-19.670873566611,0.178738950629814,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"9",12,"2011-01-01",1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,189.294933716987,20.9481855490681,0.178738950629814,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
"10",13,"2011-01-01",1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,189.294933716987,64.623985201932,0.178738950629814,0.4,-28.8800053072801,0.8,-7.9856781972704,-42.5077154316291,-26.8412320823393,2.1370743605406,7.65827939577592
