"","Method","RMSE"
"1","Mean Only","177.198438537639"
"2","Mean + Hour","126.397017975528"
"3","Mean + Hour + Day","126.394685660934"
"4","Mean + Hour + Day + Temp","115.435807796654"
"5","Mean + Hour + Day + Temp + Hum","114.170373660631"
"6","Mean + Hour + Day + Temp + Hum + Year","105.756677485887"
"7","Mean + Hour + Day + Temp + Hum + Year + Season","103.685085002963"
"8","Mean + Hour + Day + Temp + Hum + Year + Season + Working Day","103.673593603989"
"9","Mean + Hour + Day + Temp + Hum + Year + Season + Working Day + Weathersit","102.872901700931"
"10","Final Estimate (No negative estimates)","97.8979954259561"
"11","KNN","59.1782204728746"
"12","GLM","140.199923550275"
"13","svmLinear","144.860298715463"
"14","gamLoess","118.280913418259"
"15","kknn","108.029193793341"
"16","gam","103.85691202147"
"17","rf","46.3694172591295"
"18","avNNet","257.110893866764"
"19","monmlp","83.6326149462029"
"20","gbm","69.1564434354387"
"21","svmRadial","114.725634812477"
"22","svmRadialCost","114.80432600874"
"23","svmRadialSigma","111.183073592206"
